id	hunter	status	typesample	serial	year	manufacturer	model	twdb_url	image	images
5487	skuterescz	My Collection	http://typewriterdatabase.com/img/thermes _5487_1448451500.jpg	5547125	1957	Hermes	Baby	http://typewriterdatabase.com/1957-hermes-baby.5487.typewriter	http://typewriterdatabase.com/img/thumbs/ghermes _5487_1448451499.jpg	14
5488	T1peM0nkey	My Collection	http://typewriterdatabase.com/img/t _5488_1479958139.jpg	B-796068	1938	Royal	Speed King	http://typewriterdatabase.com/1938-royal-speed-king.5488.typewriter	http://typewriterdatabase.com/img/thumbs/groyal _5488_1448515177.jpg	5
5489	winter	My Collection	http://typewriterdatabase.com/img/tcorona _5489_1448618407.png	230687	1919	Corona	3	http://typewriterdatabase.com/1919-corona-3.5489.typewriter	http://typewriterdatabase.com/img/thumbs/gcorona _5489_1448618406.jpg	8
5490	winter	My Collection	NONE	372047	1928	Adler	Klein Adler 2	http://typewriterdatabase.com/1928-adler-klein-adler-2.5490.typewriter	http://typewriterdatabase.com/img/thumbs/gadler _5490_1448618999.jpg	4
5491	winter	My Collection	http://typewriterdatabase.com/img/tremington _5491_1448619570.png	ND180067	1939	Remington	Noiseless Portable Deluxe	http://typewriterdatabase.com/1939-remington-noiseless-portable-deluxe.5491.typewriter	http://typewriterdatabase.com/img/thumbs/gremington _5491_1448619569.jpg	6
5492	winter	My Collection	NONE	P15753	1952	Halda	P	http://typewriterdatabase.com/1952-halda-p.5492.typewriter	http://typewriterdatabase.com/img/thumbs/ghalda _5492_1448620924.jpg	4
5493	winter	My Collection	http://typewriterdatabase.com/img/ttriumph _5493_1448621896.png	612247	1950	Triumph	Perfekt	http://typewriterdatabase.com/1950-triumph-perfekt.5493.typewriter	http://typewriterdatabase.com/img/thumbs/gtriumph _5493_1448621896.jpg	8
5494	winter	My Collection	NONE	21453	1907	Fox	24	http://typewriterdatabase.com/1907-fox-24.5494.typewriter	http://typewriterdatabase.com/img/thumbs/gfox _5494_1448623057.jpg	6
5495	winter	My Collection	http://typewriterdatabase.com/img/troyal _5495_1448626722.png	P10152	1927	Royal	P	http://typewriterdatabase.com/1927-royal-p.5495.typewriter	http://typewriterdatabase.com/img/thumbs/groyal _5495_1448626720.jpg	6
5496	ORTBRAKER	My Collection	NONE	511225	1939	Hermes	Ruf	http://typewriterdatabase.com/1939-hermes-ruf.5496.typewriter	http://typewriterdatabase.com/img/thumbs/ghermes _5496_1448638798.jpg	10
